serial,participant,trial,angle,is.correct,rt
691,5,564,160,1,1.597741146
692,6,8,120,1,3.379223955
693,6,12,120,1,1.711424494
694,6,17,40,1,1.335199605
695,6,19,40,1,1.811051544
696,6,25,40,1,2.180272899
697,6,27,40,1,0.974935334
698,6,39,120,1,2.946158304
699,6,43,0,1,0.756295614
700,6,57,160,1,1.864432659
701,6,64,80,1,1.597582149
702,6,71,160,1,1.189112923
703,6,75,40,1,1.206136562
704,6,76,160,1,1.614009548
705,6,77,40,1,1.419873626
706,6,80,160,1,1.774785235
707,6,83,0,1,0.671554493
708,6,86,80,1,1.143917246
709,6,95,0,1,0.707361679
710,6,97,120,1,0.932328466
711,6,98,160,1,2.112426687
712,6,108,40,1,0.782799277
713,6,116,80,1,0.757373585
714,6,122,40,1,0.640118635
715,6,124,120,1,0.857739461
716,6,129,80,1,1.122933994
717,6,132,120,1,1.105486242
718,6,133,160,1,1.612201867
719,6,138,40,1,0.818812138
720,6,139,40,1,0.808866791
721,6,141,0,1,0.833915411
722,6,143,40,1,1.107184886
723,6,145,0,1,0.914743962
724,6,146,80,1,0.854263768
725,6,150,160,1,1.106036897
726,6,155,80,1,0.795657627
727,6,156,40,1,0.716830034
728,6,160,80,1,0.941638189
729,6,168,80,1,0.947154589
730,6,170,120,1,0.94400856
731,6,174,0,1,0.772584437
732,6,179,0,1,1.076425495
733,6,180,120,1,1.404035173
734,6,182,40,1,1.073482954
735,6,183,120,1,1.2229104
736,6,185,80,1,0.998390701
737,6,187,80,1,0.929455577
738,6,188,120,1,1.059966005
739,6,192,80,1,1.309643726
740,6,205,0,1,0.610780373
741,6,211,40,1,0.83684993
742,6,218,160,1,2.411983574
743,6,225,120,1,1.303564272
744,6,228,80,1,1.046496829
745,6,233,120,1,1.304239281
746,6,241,120,1,1.00212057
747,6,246,80,1,1.341847948
748,6,251,40,1,1.17501177
749,6,257,40,1,0.73046623
750,6,261,160,1,0.816699226
751,6,262,80,1,0.767656619
752,6,278,80,1,1.027555743
753,6,279,80,1,0.77834225
754,6,280,120,1,1.611394117
755,6,288,160,1,1.176629092
756,6,292,0,1,0.709612072
757,6,296,80,1,0.905181886
758,6,297,80,1,1.400851583
759,6,298,120,1,0.717932803
760,6,300,80,1,1.012992549
761,6,304,160,1,2.404929715
762,6,308,40,1,1.049785445
763,6,309,0,1,0.711844232
764,6,323,120,1,1.040510366
765,6,326,120,1,1.0345611
766,6,328,120,1,0.942122838
767,6,329,120,1,1.480140486
768,6,346,80,1,1.26045525
769,6,359,120,1,0.891632846
770,6,361,120,1,0.969729271
771,6,365,40,1,0.769539422
772,6,369,40,1,0.83952225
773,6,375,0,1,1.073089837
774,6,377,0,1,0.801042015
775,6,380,160,1,1.369077674
776,6,382,40,1,0.939177744
777,6,388,120,1,1.86073014
778,6,391,120,1,2.12894489
779,6,396,40,1,0.884188423
780,6,397,120,1,1.263400709
781,6,399,80,1,1.313229185
782,6,401,160,1,1.739162209
783,6,402,80,1,1.090399378
784,6,411,40,1,0.632554964
785,6,412,40,1,0.712337634
786,6,417,160,1,3.056937401
787,6,433,40,1,1.072258384
788,6,434,80,1,1.070567762
789,6,437,80,1,0.961117531
790,6,443,0,1,0.620568911
791,6,445,120,1,0.995332922
792,6,447,0,1,0.615996283
793,6,458,80,1,0.673409946
794,6,466,40,1,0.640052994
795,6,469,120,1,0.752410758
796,6,470,120,1,0.896382705
797,6,473,160,1,2.956207217
798,6,479,160,1,1.511077472
799,6,484,0,1,0.638116948
800,6,491,160,1,0.861695063
801,6,492,160,1,0.915272737
802,6,497,80,1,0.877293926
803,6,499,160,1,1.678820956
804,6,500,160,1,1.667343255
805,6,519,120,1,0.90287825
806,6,523,120,1,1.411295802
807,6,526,80,1,0.82462137
808,6,527,40,1,0.618578893
809,6,528,40,1,0.817498953
810,6,529,160,1,1.227967677
811,6,534,80,1,0.742265207
812,6,541,160,1,0.839801589
813,6,542,40,1,1.005747602
814,6,544,40,1,1.089270717
815,6,545,40,1,0.879624548
816,6,546,40,1,0.802059816
817,6,549,160,1,0.975067711
818,6,550,0,1,0.727744315
819,6,555,80,1,0.693669688
820,6,556,80,1,0.755644309
821,6,560,80,1,0.657093043
822,6,561,160,1,0.993385207
823,6,567,120,1,1.281068359
824,6,568,160,1,1.445067021
825,6,569,40,1,0.641219217
826,6,573,80,1,1.304944557
827,7,1,0,1,0.701583809
828,7,3,40,1,0.852878378
829,7,5,40,1,0.924881855
830,7,7,80,1,1.339240176
831,7,10,40,1,1.441302143
832,7,11,80,1,0.84609547
833,7,18,160,1,3.331952927
834,7,19,40,1,1.087422193
835,7,22,120,1,1.490453058
836,7,23,40,1,0.780016826
837,7,27,160,1,1.475656474
838,7,37,40,1,0.879274827
839,7,38,80,1,0.82727035
840,7,44,80,1,0.958289861
841,7,45,160,1,1.474947551
842,7,54,80,1,0.81918228
843,7,60,120,1,1.303319941
844,7,61,0,1,0.65892771
845,7,63,120,1,1.206078579
846,7,66,120,1,1.415383415
847,7,67,160,1,1.026970444
848,7,69,80,1,1.012327022
849,7,73,120,1,0.877564513
850,7,80,160,1,0.991332466
851,7,81,80,1,0.718898456
852,7,84,120,1,1.273076563
853,7,89,120,1,2.078753564
854,7,91,120,1,2.311336535
855,7,103,160,1,2.760734407
856,7,113,40,1,1.195261301
857,7,114,120,1,1.55716368
858,7,118,160,1,1.459829326
859,7,121,160,1,1.008991728
860,7,129,160,1,2.179085526
861,7,130,80,1,0.878615135
862,7,131,40,1,0.944981506
863,7,132,160,1,1.374975521
864,7,138,80,1,1.409202217
865,7,139,160,1,1.109401365
866,7,149,80,1,0.874410461
867,7,150,80,1,0.674666972
868,7,153,40,1,0.790980703
